response_1,code_1,index_1,response_2,code_2,index_2,cosine_distance
Measurement error,L,2197,Measurement error,O,21,0.0
Experimental Error,L,1221,Experimental error,O,299,0.0
viscosity of water,O,2553,Viscosity of water,L,625,0.0
Measurement error,O,716,Measurement Error,L,40,0.0
Friction,L,1209,Friction,O,266,0.0
Friction,L,2220,Friction,O,266,0.0
Random Chance,O,1198,Random chance,L,1103,0.0
speed,O,1187,speed,L,1366,0.0
Friction,L,1186,Friction,O,266,0.0
Friction,L,2228,Friction,O,266,0.0
Measurement error,L,2239,Measurement error,O,21,0.0
measurement error,O,2242,Measurement Error,L,40,0.0
Uncertainty in measurement,O,1968,Uncertainty in measurement,L,2175,0.0
mass of ball,L,1965,Mass of ball,O,368,0.0
Friction,L,2344,Friction,O,266,0.0
friction,L,1632,Friction,O,266,0.0
Measurement error,L,1571,Measurement error,O,21,0.0
Measurement Error,L,2676,Measurement error,O,21,0.0
Measurement error,L,2684,Measurement error,O,1109,0.0
random error,O,200,random error,L,1587,0.0
Measurement error,L,1576,Measurement error,O,21,0.0
friction,L,1578,Friction,O,266,0.0
speed,O,1908,speed,L,1366,0.0
friction,L,1586,Friction,O,266,0.0
Random Errors,O,2703,Random errors,L,2610,0.0
random error,L,1587,random error,O,200,0.0
Friction,L,165,Friction,O,266,0.0
friction,L,1898,Friction,O,266,0.0
Measurement error,O,21,Measurement Error,L,40,0.0
Measurement errors,O,148,measurement errors,L,2557,0.0
Measurement Error,L,40,Measurement error,O,21,0.0
Friction,L,1635,Friction,O,266,0.0
friction,L,1727,Friction,O,266,0.0
the size of the slit,L,2820,the size of the slit,O,834,0.0
friction ,L,1712,Friction,O,266,0.0
Measurement error ,L,2831,Measurement error,O,21,0.0
Random errors,O,75,Random errors,L,2610,0.0
friction,L,1720,Friction,O,266,0.0
Measurement error,L,50,Measurement error,O,21,0.0
Air drag,O,1762,Air drag ,L,1445,0.0
Measurement error,O,2868,Measurement Error,L,40,0.0
measurement error,L,177,Measurement error,O,21,0.0
Experimental error,O,299,Experimental Error,L,1221,0.0
Random error,O,1520,random error,L,1587,0.0
Random error,O,2658,random error,L,1587,0.0
Random Error,O,258,random error,L,1587,0.0
measurement error,L,1787,Measurement error,O,21,0.0
friction,L,248,Friction,O,266,0.0
measurement error,O,2640,Measurement Error,L,40,0.0
friction,L,275,Friction,O,266,0.0
Measurement errors,O,1530,measurement errors,L,2557,0.0
Friction,L,247,Friction,O,266,0.0
Statistics,S,268,statistics ,O,2570,0.0
Friction,O,266,Friction,L,165,0.0
Measurement Error,O,304,Measurement Error,L,40,0.0
Error in measurement,L,195,Error in measurement ,O,899,2.220446049250313e-16
Randomness,P,2158,Randomness,O,2832,2.220446049250313e-16
Randomness,P,2534,Randomness,O,2832,2.220446049250313e-16
error in measurement ,L,1538,Error in measurement ,O,899,2.220446049250313e-16
Error in measurement,O,2519,Error in measurement,L,195,2.220446049250313e-16
Error in measurement,L,197,Error in measurement ,O,899,2.220446049250313e-16
error in measurement,L,366,Error in measurement ,O,899,2.220446049250313e-16
randomness,P,541,Randomness,O,2832,2.220446049250313e-16
Randomness,O,2832,Randomness,P,511,2.220446049250313e-16
Randomness,P,511,Randomness,O,2832,2.220446049250313e-16
Error in measurement ,O,899,Error in measurement,L,195,2.220446049250313e-16
Randomness,P,2588,Randomness,O,2832,2.220446049250313e-16
mass of ball,O,984,mass of ball,L,1965,3.3717473257866004e-13
measurement errors,L,2288,Measurement errors,O,148,4.065636716177323e-13
measurement errors,L,1070,Measurement errors,O,148,4.065636716177323e-13
Random error,O,2548,random error,L,1587,4.1400216588272087e-13
Random Error,O,741,random error,L,1587,4.1400216588272087e-13
Initial velocity ,O,1064,initial velocity,L,992,4.3787196091216174e-13
Initial velocity,L,2305,Initial velocity ,O,1064,4.3787196091216174e-13
initial velocity,L,992,Initial velocity ,O,1064,4.3787196091216174e-13
initial velocity,L,1715,Initial velocity ,O,1064,4.4153569689342476e-13
Initial velocity,L,1233,Initial velocity ,O,1064,4.4153569689342476e-13
Measurement error.,L,1735,Measurement error. ,O,2152,4.432010314303625e-13
Measurement error. ,O,2152,Measurement error.,L,1735,4.432010314303625e-13
measurement error ,L,567,Measurement error,O,21,4.4486636596730023e-13
Liouville's theorem,P,59,Liouville's theorem,L,814,4.489741911584133e-13
Liouville's theorem,L,814,Liouville's theorem,P,59,4.489741911584133e-13
Experimental error,O,1113,Experimental Error,L,1221,4.591882429849647e-13
Experimental error ,O,714,Experimental Error,L,1221,4.591882429849647e-13
Speed,L,1302,Speed,O,1009,5.347944309619379e-13
temperature,P,505,temperature,L,1200,6.128431095930864e-13
temperature,L,1938,temperature,P,505,6.128431095930864e-13
temperature,L,1200,temperature,P,505,6.128431095930864e-13
Width of slit,P,854,Width of the slit ,L,811,0.0060965705636556455
Width of the slit ,L,811,Width of slit,P,854,0.0060965705636556455
Mass of the ball,L,292,Mass of ball,O,368,0.009511763133210227
mass of the ball,L,160,Mass of ball,O,368,0.00951176337232662
the force of the ball,O,1685,force of the ball ,L,1358,0.010379571406116228
force of the ball ,L,1358,the force of the ball,O,1685,0.010379571406116228
The width of the slit,P,898,Width of the slit ,L,811,0.010637153938962807
Uncertainty in measurements,O,2713,Uncertainty in measurement,L,2175,0.011003882012150745
Uncertainty in measurements,O,2598,Uncertainty in measurement,L,2175,0.011003882012150745
Uncertainty in measurements ,O,2375,Uncertainty in measurement,L,2175,0.011003890807529282
Size of the slit,L,849,the size of the slit,O,834,0.011378147370505576
The distance from the slit to the screen,P,918,Distance between the slit and the screen,L,917,0.017727386336812923
Distance between the slit and the screen,L,917,The distance from the slit to the screen,P,918,0.017727386336812923
Error in measurement.,L,238,Error in measurement ,O,899,0.018544833731913957
Distance from slit to screen,P,893,Distance between the slit and the screen,L,917,0.019185091373155494
"Measurement error, ",L,60,Measurement error,O,21,0.019417922726991388
Error in measurements,L,1821,Error in measurement ,O,899,0.020309382306847645
"Random error, ",O,515,random error,L,1587,0.02219505507900421
Imprecision of measurement,O,2195,Imprecision of measurements,L,2171,0.0227774068146247
Imprecision of measurements,L,2171,Imprecision of measurement,O,2195,0.0227774068146247
Uncertainty in measuring,L,2189,Uncertainty in measurement,O,1968,0.0231975201509097
the initial velocity,L,1954,Initial velocity ,O,1064,0.02450492698774298
Measurement imprecision ,O,866,Imprecision of measurements,L,2171,0.02544551783242832
velocity ,O,1340,*velocity,L,1676,0.02621707585860067
*velocity,L,1676,velocity ,O,1340,0.02621707585860067
Velocity,O,1979,*velocity,L,1676,0.02621707585860067
Weight of ball?,O,1909,Weight of ball,L,1886,0.027982126579129796
Weight of ball,L,1886,Weight of ball?,O,1909,0.027982126579129796
Measurement uncertainties in d,L,2387,Measurement uncertainty of d,O,2597,0.028533803347090547
Measurement uncertainty of d,O,2597,Measurement uncertainties in d,L,2387,0.028533803347090547
force applied on the ball,L,1651,the force of the ball,O,1685,0.030138244281738502
Shape of ball,L,1681,Shape and size of the ball,O,2005,0.03335112574727217
Shape and size of the ball,O,2005,Shape of ball,L,1681,0.03335112574727217
"Measurement imprecision, ",O,2183,Imprecision of measurements,L,2171,0.0339736468552686
Uncertainties in measurements,O,555,Uncertainty in measurement,L,2175,0.03502273284359503
precision of measurement,O,53,Measurement Precision,L,1878,0.03530162764252154
Measurement Precision,L,1878,precision of measurement,O,53,0.03530162764252154
various random fluctuations,L,2636,Random fluctuations,P,499,0.03556654507803003
Random fluctuations,P,499,various random fluctuations,L,2636,0.03556654507803003
Error due to measurement,L,684,Error in measurement ,O,899,0.03557412530986992
"friction, ",L,2211,Friction,O,266,0.03598904180052376
"friction, ",L,1598,Friction,O,266,0.03598904180052376
Precision of measurements,O,1800,Measurement Precision,L,1878,0.036344689493567395
shape of the ball,L,1386,Shape and size of the ball,O,2005,0.036502459574392576
precision in the measurements,L,469,Precision of measurements,O,1800,0.03667415095552362
Systematic Error,O,122,Systematic errors,L,2566,0.03674047644633849
Systematic error,O,691,Systematic errors,L,2566,0.03674047644633849
Systematic error,O,2661,Systematic errors,L,2566,0.03674047644633849
Different means of measurement ,O,1147,Differing methods of measurement,L,2260,0.037680744363457475
Differing methods of measurement,L,2260,Different means of measurement ,O,1147,0.037680744363457475
Imprecise Measurement,L,1149,Measurement imprecision ,O,866,0.038530336026504575
Experimental errors,O,2333,Experimental Error,L,1221,0.04090500811961517
Differences in wavelengths,O,2827,Different wavelengths,L,865,0.04133201073929049
Different wavelengths,L,865,Differences in wavelengths,O,2827,0.04133201073929049
Where precisely the ball is placed on the ramp,L,1826,where ball was placed on ramp,O,1569,0.041530497356095375
where ball was placed on ramp,O,1569,Where precisely the ball is placed on the ramp,L,1826,0.041530497356095375
error in measuring distance,L,1068,Inaccuracy in measuring distance,O,1935,0.04166465260215879
Inaccuracy in measuring distance,O,1935,error in measuring distance,L,1068,0.04166465260215879
Error in Measuring Distance,L,1590,Inaccuracy in measuring distance,O,1935,0.041664663733960494
Error in measuring distance,L,1479,Inaccuracy in measuring distance,O,1935,0.041664663733960494
Variations in measuring,L,385,Variation in measurement ,O,2606,0.042009925563523565
Variation in measurement ,O,2606,Variations in measuring,L,385,0.042009925563523565
Incorrect or inproper measurement of distance,L,100,Inaccuracy in measuring distance,O,1935,0.04280393843954122
imperfect measurement of distance,L,1116,Inaccuracy in measuring distance,O,1935,0.04411686713175267
force being pushed onto the ball,L,1270,the force of the ball,O,1685,0.04641141049947528
How the measure the particles ,O,2663,Measurement used to measure particles,L,780,0.04658524728848912
Measurement used to measure particles,L,780,How the measure the particles ,O,2663,0.04658524728848912
Uncertainty due to measurements ,O,2164,Measurement uncertainty,L,2626,0.0487822755433851
Limited measuring precision. ,O,445,Limited precision of measurements,L,1465,0.049478423075456135
Limited precision of measurements,L,1465,Limited measuring precision. ,O,445,0.049478423075456135
inaccurate measurements of distance,L,1776,Inaccuracy in measuring distance,O,1935,0.04960661784296427
error in measuring the distance,L,2254,Inaccuracy in measuring distance,O,1935,0.05290341019083855
Uncertainty in the measurement/reading of d,L,2340,Measurement uncertainty of d,O,2597,0.05369746396206476
placing of the ball on the ramp,L,10,where ball was placed on ramp,O,1569,0.05480217859968162
small sample size,L,2654,Low sample size,O,1163,0.055049351540528035
Low sample size,O,1163,small sample size,L,2654,0.055049351540528035
different mass of ball,L,1348,Mass of ball,O,368,0.05554845895915439
Inaccuracy of measurement,L,2602,Error in measurement ,O,899,0.05767282933558737
Inaccuracy of measurement,L,1655,Error in measurement ,O,899,0.05767282933558737
Precision of measurement techniques,L,2108,Precision of measurements,O,1800,0.057971137514724824
"particles,",O,364,different particles,L,2556,0.05940213998607202
different particles,L,2556,"particles,",O,364,0.05940213998607202
Inaccuracy in measurement error,L,700,Measurement errors,O,148,0.05963571778794019
Each of the students could place the ball at a different point on the ramp.,L,1308,majority of the student are able to place the ball in the same location on the ramp,O,157,0.06034429376610717
majority of the student are able to place the ball in the same location on the ramp,O,157,Each of the students could place the ball at a different point on the ramp.,L,1308,0.06034429376610717
the mass distribution of the ball,L,241,mass of ball,O,984,0.06061771185329867
size and weight of ball,L,1701,Weight of ball?,O,1909,0.06172425274277382
Measuring the distance wrong,L,1379,Inaccuracy in measuring distance,O,1935,0.061819682918910934
measurement uncertainty/error,L,119,measurement uncertainty,O,628,0.061918970100545034
Imprecise measurements,L,2123,Measurement imprecision ,O,866,0.06281094784193642
incorrectly measuring the distance,L,1528,Inaccuracy in measuring distance,O,1935,0.06433480550321236
measuring error,O,1111,Measurement Error,L,40,0.06444617664856112
distance measured not accurate,L,2615,Inaccuracy in measuring distance,O,1935,0.06632436357033533
measurement accuracy,O,1527,accuracy of measurement devices,L,2286,0.06649747032607212
accuracy of measurement devices,L,2603,measurement accuracy,O,1527,0.06649747032607212
accuracy of measurement devices,L,2286,measurement accuracy,O,1527,0.06649747032607212
User error in measurement,L,868,Error in measurement ,O,899,0.06742282162471469
Measurement error/uncertainty,L,2433,Measurement error,O,1109,0.06869889833865261
measurement error of d,L,2594,Measurement uncertainty of d,O,2597,0.06950654593507133
differences in measuring apparatus,L,2466,Different means of measurement ,O,1147,0.06951362511382708
varying masses of ball,L,1679,Mass of ball,O,368,0.06955223303389246
possible initial velocity ,L,316,Initial velocity ,O,1064,0.06986742620395947
measurement inaccuracy,L,400,Measurement imprecision ,O,866,0.0700330793499504
Measurement inaccuracy,L,374,Measurement imprecision ,O,866,0.0700330793499504
inaccuracy in measurements,L,1040,Imprecision of measurement,O,2195,0.07074599620954292
Random uncertainty in measurements,O,1052,Measurement uncertainty,L,2626,0.07219650267342748
Error in Measuring devices used,L,1838,Error in measurement ,O,899,0.07417314546362397
particles move randomly,O,2719,Random movement of the particle,P,2639,0.07475898558215233
Random movement of the particle,P,2639,particles move randomly,O,2719,0.07475898558215233
imprecision of measurement tools,L,183,Imprecision of measurement,O,2195,0.07578974635069302
experimental uncertainty/error,O,362,Experimental uncertainties,L,656,0.07631889770942701
Experimental uncertainties,L,656,experimental uncertainty/error,O,362,0.07631889770942701
Uncertainty in experimental apparatus,L,2780,Uncertainty due to performing the experiment ,O,1475,0.07636635041629636
Uncertainty due to performing the experiment ,O,1475,Uncertainty in experimental apparatus,L,2780,0.07636635041629636
inaccuracy in measurements.,L,1692,Imprecision of measurement,O,2195,0.07698971748715822
"Students may be placing the ball at slightly different heights on the ramp, ",L,2093,majority of the student are able to place the ball in the same location on the ramp,O,157,0.077132049460794
Random errors in experiments ,O,1193,random errors in the execution of the experiment,L,91,0.07740484268275083
random errors in the execution of the experiment,L,91,Random errors in experiments ,O,1193,0.07740484268275083
Differences in measuring tools,L,604,Different means of measurement ,O,1147,0.07820103968437775
Measurement error (instrumental precision).,L,1764,Measurement error. ,O,2152,0.07821636283833222
Statistical error from measurement,S,2200,measurement error ,L,567,0.07911445217743851
differently sized ball,L,193,Shape and size of the ball,O,2005,0.07937575823089071
"different measurement tools, and different precision",L,662,Different means of measurement ,O,1147,0.07944617739787974
Imperfections in measuring the distance travelled,L,503,Inaccuracy in measuring distance,O,1935,0.0795862251840459
uncertainty ,O,1161,Uncertainties ,L,15,0.08001889990528044
Uncertainties ,L,15,uncertainty ,O,1161,0.08001889990528044
Uncertainty ,O,1165,Uncertainties ,L,15,0.08001889990528044
Human error (incorrect measuring),L,654,Error in measurement ,O,899,0.08281605593263142
interference,L,821,Possible interference,P,2813,0.08462322415297896
Possible interference,P,2813,interference,L,821,0.08462322415297896
Impulse given to the ball,L,927,the force of the ball,O,1685,0.08606537790630442
Random variation.,O,1067,Random statistical variation,S,785,0.08620504247398686
Random statistical variation,S,785,Random variation.,O,1067,0.08620504247398686
random measurement error,L,2393,Random uncertainty in measurements,O,1052,0.0862095615184818
small differences in each trial causes different values,L,2137,small variation in trials,O,1118,0.08698942910118068
small variation in trials,O,1118,small differences in each trial causes different values,L,2137,0.08698942910118068
Students released the ball from different points on the ramp,L,479,majority of the student are able to place the ball in the same location on the ramp,O,157,0.08757943266592916
The ball might have had extra forces acting on the ball,L,1616,the force of the ball,O,1685,0.08760229680250575
Human error in measuring,L,1865,Error in measurement ,O,899,0.08780253902695012
and error in measurement devices ,L,1833,Measurement error. ,O,2152,0.08825336884622281
Other experimental errors,O,563,Experimental Error,L,1221,0.08857327447144858
Uncertainty in measuring distance,L,2437,Inaccuracy in measuring distance,O,1935,0.08865940007675088
Different starting place of ball on ramp,L,1011,where ball was placed on ramp,O,1569,0.0898410215511598
the angle,L,1612,angle,O,1426,0.08998838597620296
angle,O,1426,the angle,L,1612,0.08998838597620296
Students may push the ball forward down the ramp,L,2034,majority of the student are able to place the ball in the same location on the ramp,O,157,0.09016678892570396
Random error in measurement,L,2552,Random uncertainty in measurements,O,1052,0.0912309166602141
inconsistent measurements,O,1000,Imprecise measurements,L,2123,0.09145206219115187
Waiting time,P,638,amount of time waited,L,603,0.09158870129399466
amount of time waited,L,603,Waiting time,P,638,0.09158870129399466
force of the ball thrown/dropped,L,1350,the force of the ball,O,1685,0.09190494757915124
Random environmental errors between the experiments,L,2127,Random errors in experiments ,O,1193,0.09247641417961483
Velocity and ,O,1012,*velocity,L,1676,0.09281699468582527
Imperfect shape of ball,L,311,Shape and size of the ball,O,2005,0.09295064830821487
Different weight of ball,L,961,Weight of ball?,O,1909,0.09313088653867807
applied pressure on ball,L,1389,the force of the ball,O,1685,0.09324501953450837
The inherit uncertainty of measurement,P,2700,measurement uncertainty,O,628,0.0934223241836869
Inaccurate measurements,L,1629,inconsistent measurements,O,1000,0.0935845147066795
Inaccurate measurements,L,89,inconsistent measurements,O,1000,0.0935845147066795
Inaccurate measurements,L,1785,inconsistent measurements,O,1000,0.0935845147066795
Inaccuracy in measuring method,L,1809,Error in measurement ,O,899,0.09434471444419157
Initial Velocity (Slight Push),L,1041,Initial velocity ,O,1064,0.09479927886584871
Imprecise distance measurements,L,2550,Inaccuracy in measuring distance,O,1935,0.0948171148519753
precision mistakes in measuring ,L,957,Error in measurement ,O,899,0.09487982305145082
human error in measurement,L,1071,Error in measurement ,O,899,0.095226684081827
Slight differences in measurement tools,L,189,Different means of measurement ,O,1147,0.09526788603117609
Mistakes in procedure (systematic error),L,2756,Systematic errors,O,2311,0.0967159176942669
inaccurate measurings,L,1728,inconsistent measurements,O,1000,0.09703448531051273
Variability,O,1335,Statistical variability,S,2080,0.09719530760831607
Statistical variability,S,2080,Variability,O,1335,0.09719530760831607
Statistical Variability,S,2535,Variability,O,1335,0.09719530760831607
inaccurate measuring,L,397,inconsistent measurements,O,1000,0.0972093388247871
Inaccurate measuring,L,1561,inconsistent measurements,O,1000,0.0972093388247871
force of throwing the ball,L,1438,the force of the ball,O,1685,0.09739896523773162
How high on the ramp the ball started,L,2298,where ball was placed on ramp,O,1569,0.09768254482389338
incorrect measurements ,L,421,inconsistent measurements,O,1000,0.09868305549272849
measurements can be taken incorrectly,L,1609,Measurement imprecision ,O,866,0.10008922061626069
Some measurements are far from the average measurement,O,2851,inaccuracy in measurements.,L,1692,0.10037712649362884
Improper measurements,L,1691,inconsistent measurements,O,1000,0.10105742097534642
Incorrect measuring,L,1324,inconsistent measurements,O,1000,0.10210626151069657
Error in measurement of time and distance,O,514,Error in measuring distance,L,1479,0.10243756956097483
Using the same ramp and ball,L,1164,the ball and ramp is the same so they will get similar results,O,1877,0.10247307163432162
the ball and ramp is the same so they will get similar results,O,1877,Using the same ramp and ball,L,1164,0.10247307163432162
inaccuracy ,O,979,Inaccuracy of measurement,L,1655,0.10279607226456355
Small differences in the mass of ball,L,933,Mass of ball,O,368,0.10285119500252149
"error in procedure, measurement, or likely both",O,1945,Error in measurement.,L,238,0.1029474334855035
where the ball is initially placed on the ramp compared to other setups,L,422,where ball was placed on ramp,O,1569,0.10316831735276255
"Difference in measuring, ",L,1171,Different means of measurement ,O,1147,0.10336811768574161
Different slit sizes,L,815,the size of the slit,O,834,0.10353505683946562
Different height h,L,1047,The height (h).,O,947,0.10389284380653951
The height (h).,O,947,Different height h,L,1047,0.10389284380653951
measurement record error ,L,879,Measurement error,O,1109,0.10398164618166494
Uncertainties when measuring the distance,L,2201,Inaccuracy in measuring distance,O,1935,0.10425156954606296
Inaccurate measurement,L,2721,inconsistent measurements,O,1000,0.1047353835745014
human error in measuring the distance,L,1696,Inaccuracy in measuring distance,O,1935,0.10484004522482449
Human & Measurement Error,L,20,Measurement errors,O,148,0.10511658661386658
Instrumental precision of the measuring device,L,1483,precision of measurement,O,53,0.10549885752039523
human error of measuring distance,L,1859,Inaccuracy in measuring distance,O,1935,0.1057723441544548
measuring incorrectly,L,2485,Error in measurement ,O,899,0.10585816858452701
The ball isn't as high on the ramp,L,7,where ball was placed on ramp,O,1569,0.10587704957073862
the direction of the ball running across the ramp,L,312,where ball was placed on ramp,O,1569,0.10620476010362179
Uncertainty in distance measurements,L,1575,Inaccuracy in measuring distance,O,1935,0.10636846321891358
Measuring wrong,L,1138,inconsistent measurements,O,1000,0.10645688746410353
measuring wrong,L,1282,inconsistent measurements,O,1000,0.10645688746410353
Random variation in the electron's behavior,P,2866,random differences in the production of electrons,L,892,0.10682377476890315
random differences in the production of electrons,L,892,Random variation in the electron's behavior,P,2866,0.10682377476890315
Imperfections in measuring,L,171,Error in measurement ,O,899,0.10682646043351751
The same particles have a chance of being in different places,P,2691,particles not all identical,L,518,0.10709994879642115
particles not all identical,L,518,The same particles have a chance of being in different places,P,2691,0.10709994879642115
applied forces when releasing the ball,L,1766,the force of the ball,O,1685,0.1074432817073897
", the amount of force being put into the ball when released. ",L,1977,the force of the ball,O,1685,0.10816347946944271
Change in acceleration,L,1887,acceleration,O,1006,0.10835661289834297
acceleration,O,1006,Change in acceleration,L,1887,0.10835661289834297
Acceleration,O,1425,Change in acceleration,L,1887,0.10835661289834297
Errors in measurement (length or time),L,577,Error in measurement ,O,899,0.10866277654952006
Imprecision in the measuring system used to find d,L,2247,Imprecision of measurement,O,2195,0.10894859633417842
Inaccuracies or imprecision on the measurement of the location,L,2596,Imprecision of measurement,O,2195,0.10946746906670868
Uncertainty in measurement of h and d,O,2188,imperfect measurement of h,L,1517,0.10957840400512953
imperfect measurement of h,L,1517,Uncertainty in measurement of h and d,O,2188,0.10957840400512953
Mistakes in carrying out the experiment (systematic error),L,2339,Experimental errors,O,2333,0.10970450202705262
Not accurately measuring,L,1562,inconsistent measurements,O,1000,0.11003417707778207
Personal error (in measurement),L,956,Error in measurement ,O,899,0.11004691193649763
force of push,L,1975,amount of force,O,2001,0.11029581386794551
amount of force,O,2001,force of push,L,1975,0.11029581386794551
Uncertainty in the measurement of y,O,2766,Uncertainty in measurement,L,2175,0.11039661501780085
measurement error from the ruler,L,526,Error in measurement ,O,899,0.11124291536221143
" taking measurements differently,",L,880,Different means of measurement ,O,1147,0.11145513861398282
Inaccuracy in measuring devices,L,1162,Error in measurement ,O,899,0.11219565439305368
experimental error in measuring the distances,L,694,Inaccuracy in measuring distance,O,1935,0.1124144627698842
Variation in the shape and mass of the ball,L,393,Shape and size of the ball,O,2005,0.11248413136293711
Position of the ball at the start position (top of the ramp),L,8,where ball was placed on ramp,O,1569,0.11262214303748808
Taking multiple measurements,O,2266," taking measurements differently,",L,880,0.11263092694983434
Pushing the ball down the ramp,L,2215,where ball was placed on ramp,O,1569,0.11263128745351358
Student added a force when release the ball.,L,1792,the force of the ball,O,1685,0.11310687811445919
measurment error,O,1754,Incorrect measurments,L,2447,0.11316186432124231
Incorrect measurments,L,2447,measurment error,O,1754,0.11316186432124231
Inaccuracy in measuring d,L,2149,Measurement uncertainty of d,O,2597,0.11407149888103052
Random uncertainties ,O,2814,Uncertainties ,L,15,0.1144923932884504
"measurement variation (technique, parallax, etc.)",L,404,Variation in measurement ,O,2606,0.11463023650820969
Small force on the ball when released,L,1543,the force of the ball,O,1685,0.11466833225922701
the ball traveling diagonally down the ramp,L,1933,where ball was placed on ramp,O,1569,0.11477316610201882
Systematic errors (such as performing the experiment incorrectly),L,2465,Experimental errors,O,2333,0.11496674525079675
Measurement uncertainty of t,O,2632,Measurement uncertainty,L,2626,0.1150693742206309
"Giving ball initial momentum,",L,2061,the force of the ball,O,1685,0.1152381033084311
Imperfect measuring equipment,L,579,Error in measurement ,O,899,0.1152687814673502
Off on the measurement,L,1913,inconsistent measurements,O,1000,0.11537720411063579
Imperfections in measurement of d,L,2415,Measurement uncertainty of d,O,2597,0.11560410699458723
Calculation Error: The final measurement may have been estimated or misread.,L,161,Error in measurement ,O,899,0.11572054800677023
relative error between each measurement.,O,2549,Measurement error.,L,1735,0.11595089332359065
relative error between each measurement.,O,2119,Measurement error.,L,1735,0.11595095243306452
Improper measurement,L,2308,inconsistent measurements,O,1000,0.11653141394760469
different ball: Masses and size,L,1851,Mass of ball,O,368,0.11667572565407613
Inconsistency in measurement technique,L,1112,Measurement imprecision ,O,866,0.1169168637647161
the distance from the edge of the table at which the ball is released,L,284,How far the ball went off the table,O,1674,0.11726391827367122
How far the ball went off the table,O,1674,the distance from the edge of the table at which the ball is released,L,284,0.11726391827367122
There may be a slight push or hold on the ball.,L,288,the force of the ball,O,1685,0.11728008748121921
initial velocity not 0,L,1918,Initial velocity ,O,1064,0.11774211954221891
The diffraction of the electron wave function going through the slit,L,820,I would assume the electron is diffracting through the single slit. The angle scattered is given by sin^-1(n*wavelength/slit distance),P,828,0.11809467618892344
I would assume the electron is diffracting through the single slit. The angle scattered is given by sin^-1(n*wavelength/slit distance),P,828,The diffraction of the electron wave function going through the slit,L,820,0.11809467618892344
The initial velocity of particles.,L,692,Initial velocity ,O,1064,0.11822685967300584
the ball has deformities and not all are exactly the same ,L,2348,Shape and size of the ball,O,2005,0.11852915447760215
Dropping the ball from x height should drop the ball off at a certain spot,O,2146,the height of which the ball is dropped ,L,1665,0.11854122926245148
the height of which the ball is dropped ,L,1665,Dropping the ball from x height should drop the ball off at a certain spot,O,2146,0.11854122926245148
Where they release the ball from the ramp,L,2482,where ball was placed on ramp,O,1569,0.11867181963573137
